case	stub_va	table_va	table_delta	template_fn_va	fn_size	class_name	prop_members	fn_members
181	0x158a370	0x565ce24	-67971040	0x15abd30	796	BattleScoringDataCollectResObject	cannonHitEnemyLimitTime;cannonUseEnemyLimitTime;normalSkillHitLimitTime;normalSkillHitCount;heroSkillHitLimitTime;heroSkillHitCount;snowballFlyDistance;snowballDashUseLimitTime;snowballDashUseNoDeathLimitTime;summonerSpellKillLimitTime;useSkill4HitMultiNum;useSKill4KillLimitTime;specialActivitySpeed;specialActivityEnterSpringTime;specialActivityStayInGrassTime;farmPhaseTime	
182	0x158a37c	0x565ce28	-67971028	0x15ac0b0	756	PixiuAwardResObject* >		recordDict;recordDict;recordList;recordList
183	0x158a388	0x565ce2c	-67971016	0x15ac408	256	PixiuAwardResObject	defaultCard	
184	0x158a394	0x565ce30	-67971004	0x15ac560	756	EvacuateItemResObject* >		recordDict;recordDict;recordList;recordList
185	0x158a3a0	0x565ce34	-67970992	0x15ac8b8	436	EvacuateItemResObject	itemType;itemSubType;maxPileCount;saleMoney;effectType;effectParam	
186	0x158a3ac	0x565ce38	-67970980	0x15acad0	756	EvacuateDropSchemeResObject* >		recordDict;recordDict;recordList;recordList
187	0x158a3b8	0x565ce3c	-67970968	0x15ace28	328	EvacuateDropListItem	itemID;num;value	
188	0x158a3c4	0x565ce40	-67970956	0x15acfd4	292	EvacuateDropSchemeResObject	schemeType;dropCount	
189	0x158a3d0	0x565ce44	-67970944	0x15ad15c	756	SkillGemBlackWhiteSetResObject* >		recordDict;recordDict;recordList;recordList
190	0x158a3dc	0x565ce48	-67970932	0x15ad4b4	484	SlotGemBlackConfigItem		asset;asset
191	0x158a3e8	0x565ce4c	-67970920	0x15ad6fc	536	RelatedSlotGemBlackConfig	slotIndex	blackConfigs;blackConfigs
192	0x158a3f4	0x565ce50	-67970908	0x15ad978	256	SkillGemStrengthenAssetObject	resID	
193	0x158a400	0x565ce54	-67970896	0x15adad0	484	SlotGemWhiteConfigItem		asset;asset
194	0x158a40c	0x565ce58	-67970884	0x15add18	536	RelatedSlotGemWhiteConfig	slotIndex	configItem;configItem
195	0x158a418	0x565ce5c	-67970872	0x15adf94	756	SkillGemBlackWhiteSetResObject		slotWhiteConfigs;slotWhiteConfigs;slotBlackConfigs;slotBlackConfigs
196	0x158a424	0x565ce60	-67970860	0x15ae2ec	756	ChampionInitGemCategoryResObject* >		recordDict;recordDict;recordList;recordList
197	0x158a430	0x565ce64	-67970848	0x15ae644	636	SkinSkillGemCategoryAddInfo	whiteNum;blueNum;purpleNum;levelRequirement	gemCategoryAssetObj;gemCategoryAssetObj
198	0x158a43c	0x565ce68	-67970836	0x15ae924	536	SkinSkillGemSlotAddInfo	slotIndex	categoryAddInfos;categoryAddInfos
199	0x158a448	0x565ce6c	-67970824	0x15aeba0	484	SkinSkillGemAddInfo		slotAddInfos;slotAddInfos
200	0x158a454	0x565ce70	-67970812	0x15aede8	756	SkillGemStrengthenResObject* >		recordDict;recordDict;recordList;recordList
201	0x158a460	0x565ce74	-67970800	0x15af140	292	RelatedSkillStrengthenCategorySubConfig	TargetRuleType;IsEnable	
202	0x158a46c	0x565ce78	-67970788	0x15af2c8	364	GemGeneralTipParam	tipIndex;qualityWhiteValue;qualityBlueValue;qualityPurpleValue	
203	0x158a478	0x565ce7c	-67970776	0x15af498	484	SkillStrengthenRecommendConfig		recommendFactions;recommendFactions
204	0x158a484	0x565ce80	-67970764	0x15af6e0	1572	RelatedSkillStrengthenCategoryConfig		qualityConfig;qualityConfig;weightConfig;weightConfig;recommendConfig;recommendConfig;generalTipParams;generalTipParams;generalTipValueParams;generalTipValueParams
205	0x158a490	0x565ce84	-67970752	0x15afd68	756	SkillGemSchemeResObject* >		recordDict;recordDict;recordList;recordList
206	0x158a49c	0x565ce88	-67970740	0x15b00c0	256	SkillGemLevelBase	level	
207	0x158a4a8	0x565ce8c	-67970728	0x15b0218	256	SkillGemSchemeResObject	ruleType	
208	0x158a4b4	0x565ce90	-67970716	0x15b0370	756	SkillGemCategoryResObject* >		recordDict;recordDict;recordList;recordList
209	0x158a4c0	0x565ce94	-67970704	0x15b06c8	536	SkillStrengthenOptionalRuleType	ruleType	variable;variable
210	0x158a4cc	0x565ce98	-67970692	0x15b0944	364	SkillStrengthenCountQualityConfig	forbidQualityMask;whiteMaxCount;blueMaxCount;purpleMaxCount	
211	0x158a4d8	0x565ce9c	-67970680	0x15b0b14	844	SkillGemCategoryResObject	bEnable;categoryType	qualityConfig;qualityConfig;weightConfig;weightConfig
212	0x158a4e4	0x565cea0	-67970668	0x15b0ec4	756	SkillGemResObject* >		recordDict;recordDict;recordList;recordList
213	0x158a4f0	0x565cea4	-67970656	0x15b121c	572	SkillGemResObject	enabled;ruleType	variable;variable
214	0x158a4fc	0x565cea8	-67970644	0x15b14bc	756	TalentResObject* >		recordDict;recordDict;recordList;recordList
215	0x158a508	0x565ceac	-67970632	0x15b1814	292	TalentResObject	enabled;type	
216	0x158a514	0x565ceb0	-67970620	0x15b199c	756	TraitResObject* >		recordDict;recordDict;recordList;recordList
217	0x158a520	0x565ceb4	-67970608	0x15b1cf4	652	TraitRandomAttribute	groupId;index;prob;point	buffAsset;buffAsset
218	0x158a52c	0x565ceb8	-67970596	0x15b1fe4	292	TraitLevelData	quality;count	
219	0x158a538	0x565cebc	-67970584	0x15b216c	364	TraitResObject	enabled;autoUpQuality;championType;traitTheme	
220	0x158a544	0x565cec0	-67970572	0x15b233c	756	ChampionGainConfigResObject* >		recordDict;recordDict;recordList;recordList
221	0x158a550	0x565cec4	-67970560	0x15b2694	756	GainChampionDeckResObject* >		recordDict;recordDict;recordList;recordList
222	0x158a55c	0x565cec8	-67970548	0x15b29ec	756	GainDeckResObject* >		recordDict;recordDict;recordList;recordList
223	0x158a568	0x565cecc	-67970536	0x15b2d44	292	ChampionDeckWeight	iChampionDeckId;iWeight	
224	0x158a574	0x565ced0	-67970524	0x15b2ecc	292	GainDeckResObject	rateAfterRefresh;maxCountEachRound	
225	0x158a580	0x565ced4	-67970512	0x15b3054	756	GainAbilityUnlockPlanResObject* >		recordDict;recordDict;recordList;recordList
226	0x158a58c	0x565ced8	-67970500	0x15b33ac	256	GainAbilityUnlockPlanResObject	weight	
227	0x158a598	0x565cedc	-67970488	0x15b3504	756	GainRecommendResObject* >		recordDict;recordDict;recordList;recordList
228	0x158a5a4	0x565cee0	-67970476	0x15b385c	256	GainAssetObject	resID	
229	0x158a5b0	0x565cee4	-67970464	0x15b39b4	756	GainRecommendResObject		championAsset;championAsset;gainAssetList;gainAssetList
230	0x158a5bc	0x565cee8	-67970452	0x15b3d0c	756	GainWeightResObject* >		recordDict;recordDict;recordList;recordList
231	0x158a5c8	0x565ceec	-67970440	0x15b4064	292	GainWeightItem	type;weightValue	
232	0x158a5d4	0x565cef0	-67970428	0x15b41ec	528	GainWeightTable	totalWeight	gainWeightItems;gainWeightItems
233	0x158a5e0	0x565cef4	-67970416	0x15b4460	484	GainWeightResObject		gainWeightTables;gainWeightTables
234	0x158a5ec	0x565cef8	-67970404	0x15b46a8	756	GainProbResObject* >		recordDict;recordDict;recordList;recordList
235	0x158a5f8	0x565cefc	-67970392	0x15b4a00	292	GainProbItem	type;prob	
236	0x158a604	0x565cf00	-67970380	0x15b4b88	256	GainProbResObject	totalProb	
237	0x158a610	0x565cf04	-67970368	0x15b4ce0	756	GainGroupResObject* >		recordDict;recordDict;recordList;recordList
238	0x158a61c	0x565cf08	-67970356	0x15b5038	256	GainWeightAssetObject	resID	
239	0x158a628	0x565cf0c	-67970344	0x15b5190	256	GainProbAssetObject	resID	
240	0x158a634	0x565cf10	-67970332	0x15b52e8	472	GainGroupResObject	beginRound;warmRound;seasonBegin;groupProb;maxOfPrePerson;beginRoundNum;seasonBeginNum	
241	0x158a640	0x565cf14	-67970320	0x15b5524	756	GainResObject* >		recordDict;recordDict;recordList;recordList
242	0x158a64c	0x565cf18	-67970308	0x15b587c	292	IntPairData	key;value	
243	0x158a658	0x565cf1c	-67970296	0x15b5a04	292	ChampionWeight	iHeroId;iWeight	
244	0x158a664	0x565cf20	-67970284	0x15b5b8c	256	TraitAssetObject	resID	
245	0x158a670	0x565cf24	-67970272	0x15b5ce4	1400	GainResObject	iAbilityGroupTag;iHexAramSeriesTag;iIncludeTag;iExcludeTag;iIncludeTagSelected;iExcludeTagSelected;iIncludeTagRemove;iExcludeTagRemove;iIncludeCareerTag;iExcludeCareerTag;isDiscovery;excludeGroupId;onlyForBeDiscovered;isUpgradeCard;allowEnhancement;limitRound;MaxlimitRound;enabled;locked;iHexAramVersionsTag;disableInShow;quality;maxRandomNum;randomWeight;repeatTake	layerBuff;layerBuff
246	0x158a67c	0x565cf28	-67970260	0x15b62c0	756	VehicleResObject* >		recordDict;recordDict;recordList;recordList
247	0x158a688	0x565cf2c	-67970248	0x15b6618	756	GamePlayComponentResObject* >		recordDict;recordDict;recordList;recordList
248	0x158a694	0x565cf30	-67970236	0x15b6970	256	LuaAssetObject	hashId	
249	0x158a6a0	0x565cf34	-67970224	0x15b6ac8	256	VehicleAssetObject	resID	
250	0x158a6ac	0x565cf38	-67970212	0x15b6c20	256	ChampionAssetObject	resID	
251	0x158a6b8	0x565cf3c	-67970200	0x15b6d78	292	GPCFlowResObject	resId;autoRun	
252	0x158a6c4	0x565cf40	-67970188	0x15b6f00	680	BattleNegativeEventResObject	id;isCommon;flowAsset;parallelFlowAsset;negativeScore	desc;desc
253	0x158a6d0	0x565cf44	-67970176	0x15b720c	872	BattleSpecialEventResObject	isCommon;flowAsset;parallelFlowAsset	desc;desc;heroIdList;heroIdList
254	0x158a6dc	0x565cf48	-67970164	0x15b75d8	436	BestPartner	bestPartnerTypeID;gameResultType;conditionParam1;conditionParam2;conditionParam3;priority	
255	0x158a6e8	0x565cf4c	-67970152	0x15b77f0	484	BestPartnerResObject		bestPartnerList;bestPartnerList
256	0x158a6f4	0x565cf50	-67970140	0x15b7a38	400	NewMvpCoefInfo	scoreFactorType;modeID;heroID;roleLane;value	
257	0x158a700	0x565cf54	-67970128	0x15b7c2c	508	NewMvpLaneWeightInfo	scoreFactorType;modeID;heroID;lane_1;lane_2;lane_3;lane_4;lane_5	
258	0x158a70c	0x565cf58	-67970116	0x15b7e8c	508	NewMvpScoreInfo	scoreFactorType;modeID;heroid;factor;coreMvpScore;shieldMvpScore;assistMvpScore;conventionFactor	
259	0x158a718	0x565cf5c	-67970104	0x15b80ec	536	BulletAssetObject	resID	resObject;resObject
260	0x158a724	0x565cf60	-67970092	0x15b8368	1412	SoldierSkillFlowConfig	rangeHurt;maxAnmiNum;anmiTime;hurtTime;cdTimeBase;cdTime;radius;vfxTime;bulletOffset;isHeal	skillId;skillId;bulletId;bulletId;filterId;filterId
261	0x158a730	0x565cf64	-67970080	0x15b8950	484	SoldierSkillFlowResObject		soldierSkillConfigList;soldierSkillConfigList
262	0x158a73c	0x565cf68	-67970068	0x15b8b98	528	SoldierDieTime	dieTime	soldierId;soldierId
263	0x158a748	0x565cf6c	-67970056	0x15b8e0c	484	SoldierDieTimeResObject		soldierList;soldierList
264	0x158a754	0x565cf70	-67970044	0x15b9054	292	MonsterGroup	groupId;maxCount	
265	0x158a760	0x565cf74	-67970032	0x15b91dc	484	MonsterGroupResObject		groupList;groupList
266	0x158a76c	0x565cf78	-67970020	0x15b9424	436	GlobalChaosZoneHeroAttrTrendConfig_AttrTrend	attrType;baseValue;growValue;m;k1;b1	
267	0x158a778	0x565cf7c	-67970008	0x15b963c	256	GlobalChaosZoneHeroAttrTrendConfig	heroId	
268	0x158a784	0x565cf80	-67969996	0x15b9794	436	GlobalChaosZoneBuffConfig	level;maxHpMul;maxHpAdd;tenacity;armourAdd;magicDefAdd	
269	0x158a790	0x565cf84	-67969984	0x15b99ac	292	GlobalResInfo	globalResID;value	
270	0x158a79c	0x565cf88	-67969972	0x15b9b34	292	WaveAttrGrowth	attrType;addRate	
271	0x158a7a8	0x565cf8c	-67969960	0x15b9cbc	364	MonsterWaveGrowthData	modeId;monsterId;waveId;goldDropProb	
272	0x158a7b4	0x565cf90	-67969948	0x15b9e8c	536	MonsterWaveGrowthCoefficentData	coefficientType	dataList;dataList
273	0x158a7c0	0x565cf94	-67969936	0x15ba108	484	MonsterWaveGrowthResObject		dataListWithCoefficent;dataListWithCoefficent
274	0x158a7cc	0x565cf98	-67969924	0x15ba350	292	RuinMonsterData	monsterId;monsterType	
275	0x158a7d8	0x565cf9c	-67969912	0x15ba4d8	364	RuinWaveData	waveId;duration;shopRefreshFactor;goldDropProb	
276	0x158a7e4	0x565cfa0	-67969900	0x15ba6a8	756	RuinWaveResObject		dataList;dataList;monsterDataList;monsterDataList
277	0x158a7f0	0x565cfa4	-67969888	0x15baa00	328	NegativeLevelResObject	negativeLevel;negativeTotalScore;negativeTime	
278	0x158a7fc	0x565cfa8	-67969876	0x15babac	608	WatchTimeLineIcon	type;mark;specifyMonsterID	icon;icon
279	0x158a808	0x565cfac	-67969864	0x15bae70	976	BattleGlobalSettingChaosZoneConfigResObject	reduceWeightRatio;minReduceWeightRatio;reduceOtherQuality;reduceSameSlot;reduceSameSlotWeightRatio;minReduceSameSlotRatio;whiteRecommendWeight;blueRecommendWeight;purpleRecommendWeight;uniqueRecommendWeight;recommendThreshold;averageRange;maxRange	recommendMixCoeffs;recommendMixCoeffs
280	0x158a814	0x565cfb0	-67969852	0x15bb2a4	444	StringCacheResObject	animDeath;animRunFast;jointDefault;jointSpine;jointHead;flyTextMissing;flyTextDodge	
281	0x158a820	0x565cfb4	-67969840	0x15bb4c4	356	BarracksResObject	camp;line;summonerID;barracksID	
282	0x158a82c	0x565cfb8	-67969828	0x15bb68c	292	SoldierQuickResObject	soldierQuickBeginTime;soldierQuickEndTime	
283	0x158a838	0x565cfbc	-67969816	0x15bb814	364	ExtraGoldRuleResObject	startTime;switchTime;intervalTime;gold	
284	0x158a844	0x565cfc0	-67969804	0x15bb9e4	484	WardSkillResObject		variantSkillAssets;variantSkillAssets
285	0x158a850	0x565cfc4	-67969792	0x15bbc2c	None	BattleGlobalSettingResObject	scDamageModified;attackSpeedToFlowSpeedRate;possessFinishDelayDestoryTime;reflectSkillDelayDestroyTime;grassAudioRange;audioSwitchGroup;audioSwitchState1;audioSwitchState2;audioSwitchState3;audioSwitchState4;delayBeforeDeleash;delayBeforeDeleashBaron;strengthMax;cStrengthRecoverInterval;stateChangeInterval;playSpecialBornFlowTime;pigeonBornFlowDuration;disguiseTailTriggerCount;disguiseTailValidDuration;iMaxSoilderNum;iStopCreateSoilderTime;iSurrenderCloseUITime;iActiveAdvancedEquipCDTime;iEquipRecommendationCDTime;iEquipSaleByRawPriceBuffTime;soilderBeheadApMaxAddHurt;soilderBeheadApToOneHurt;soldierBornVfx;plantEyeVfx;heroDieVfxBlue;heroDieVfxRed;heroDieVfxPlaySpeed	globalHeroBuffs;globalHeroBuffs;recallStrengthenBuffs;recallStrengthenBuffs;soldierQuickConfig;soldierQuickConfig;barracksRes;barracksRes
286	0x158a85c	0x565cfc8	-67969780	0x15bd18c	400	MuteTakeOverResObject	MuteTakeToggle_AI_MANAGE_VOTE;MuteTakeToggle_MVP_MANAGE_PROCESS;MuteTakeToggle_HANGUP_BROADCAST;MuteTakeToggle_PLAYER_ONLINE_STATE;MuteTakeToggle_AI_MANAGE_PROCESS_UPDATE	
287	0x158a868	0x565cfcc	-67969768	0x15bd380	364	CherrySurrenderResObject	activeHangUpTime;activeOfflineTime;activeAIControlTime;activeRound	
288	0x158a874	0x565cfd0	-67969756	0x15bd550	328	CherryHangUpInfoResObject	hangupTimePerRound;hangupRatePerRound;additionPunishTime	
289	0x158a880	0x565cfd4	-67969744	0x15bd6fc	544	PlayerBehaviorInfoResObject	iID;mode;behaviorType;negativeType;behaviorLevel;checkParam1;checkParam2;checkParam3;checkParam4	
290	0x158a88c	0x565cfd8	-67969732	0x15bd980	528	GlobalSettingResObject	playerReconnectProtectTime	playerBehaviorConfig;playerBehaviorConfig
291	0x158a898	0x565cfdc	-67969720	0x15bdbf4	484	AISkillGemPoolResObject		aiSkillGemPoolList;aiSkillGemPoolList
292	0x158a8a4	0x565cfe0	-67969708	0x15bde3c	292	CherryGainConf	ID;AddToPool	
293	0x158a8b0	0x565cfe4	-67969696	0x15bdfc4	484	CherryGainPoolResObject		cherryGainPoolList;cherryGainPoolList
294	0x158a8bc	0x565cfe8	-67969684	0x15be20c	328	AIDataCollectInGroupResObject	minInGroupCount;maxInGroupDistance;minInGroupDuration	
295	0x158a8c8	0x565cfec	-67969672	0x15be3b8	364	AIGlobalSettingResObject	foringProb;isBraveChooseForgingProb;isUseForgingChooseForgingProb;commonChooseForgingProb	
296	0x158a8d4	0x565cff0	-67969660	0x15be588	256	AISkillLearnSeq	heroID	
297	0x158a8e0	0x565cff4	-67969648	0x15be6e0	484	AISkillLearnSeqResObject		aiSkillLearnSeqList;aiSkillLearnSeqList
298	0x158a8ec	0x565cff8	-67969636	0x15be928	472	AISkillToMonster	ID;BaseDamage;DamageType;ADRatio;APRatio;MoreDamageType;MoreRatio	
299	0x158a8f8	0x565cffc	-67969624	0x15beb64	484	AISkillToMonsterResObject		aiSkillToMonsterList;aiSkillToMonsterList
300	0x158a904	0x565d000	-67969612	0x15bedac	292	AIHeroOrientation	ID;SingleLineRatio	
301	0x158a910	0x565d004	-67969600	0x15bef34	528	AIHeroOrientationResObject	MaxOrientationNum	aiHeroOrientationList;aiHeroOrientationList
302	0x158a91c	0x565d008	-67969588	0x15bf1a8	292	AICtrlCfg	Difficulty;DifficultyType	
303	0x158a928	0x565d00c	-67969576	0x15bf330	484	AICtrlCfgResObject		aiCtrlCfgList;aiCtrlCfgList
304	0x158a934	0x565d010	-67969564	0x15bf578	364	USBSkill	GamePlayMode;USBSkillID;HeroID;IsAIDisable	
305	0x158a940	0x565d014	-67969552	0x15bf748	528	USBSkillResObject	MaxUSBSkillClassesNum	usbSkillList;usbSkillList
306	0x158a94c	0x565d018	-67969540	0x15bf9bc	688	SLHeroPool	ID;SupportType;Top;APC;Support;ADC;Jungle;ESupportType;ETop;EAPC;ESupport;EADC;EJungle	
307	0x158a958	0x565d01c	-67969528	0x15bfcd0	484	SLHeroPoolResObject		slHeroPoolList;slHeroPoolList
308	0x158a964	0x565d020	-67969516	0x15bff18	688	AIEffectConfig	ID;EffectID;Level;EffectType;BaseValue;ADRatio1;APRatio1;MoreFactor1;MoreRatio1;ADRatio2;APRatio2;MoreFactor2;MoreRatio2	
309	0x158a970	0x565d024	-67969504	0x15c022c	484	AIEffectConfigResObject		aiEffectConfigList;aiEffectConfigList
310	0x158a97c	0x565d028	-67969492	0x15c0474	484	HeroBaseAttrResObject		heroBaseAttrList;heroBaseAttrList
311	0x158a988	0x565d02c	-67969480	0x15c06bc	688	HeroAttrLevelData	seqID;heroAttrLevelKey;heroId;hpLv;mpLv;attackLv;apLv;armorLv;magicDefLv;hpRecoveryLv;mpRecoveryLv;attackSpeedLv;moveSpeedLv	
312	0x158a994	0x565d030	-67969468	0x15c09d0	484	HeroAttrLevelResObject		attrLevelList;attrLevelList
313	0x158a9a0	0x565d034	-67969456	0x15c0c18	600	LevelRhythmResObject	maxLevelExpStageNum;maxLevelReviveTimeStageNum;maxLevelMoneyStageNum	rhythmData;rhythmData
314	0x158a9ac	0x565d038	-67969444	0x15c0ed4	256	MonsterSkinAssetObject	resID	
315	0x158a9b8	0x565d03c	-67969432	0x15c102c	756	MonsterThemeSkin		monsterAsset;monsterAsset;skinAsset;skinAsset
316	0x158a9c4	0x565d040	-67969420	0x15c1384	484	MonsterThemeSkinResObject		lstData;lstData
317	0x158a9d0	0x565d044	-67969408	0x15c15cc	364	ExpMoneyRevise	expMoneyReviseKey;reviseType;battleLineType;numberOfShares	
318	0x158a9dc	0x565d048	-67969396	0x15c179c	528	ExpMoneyReviseResObject	maxLevelExpMoneyReviseStateNum	reviseData;reviseData
319	0x158a9e8	0x565d04c	-67969384	0x15c1a10	484	HeroSkillLvUpRuleResObject		lvRuleData;lvRuleData
320	0x158a9f4	0x565d050	-67969372	0x15c1c58	580	GainWeightControlData	keyID;preferSilverGainID1;preferSilverGainID2;preferSilverGainID3;preferGoldGainID1;preferGoldGainID2;preferGoldGainID3;preferColorGainID1;preferColorGainID2;preferColorGainID3	
321	0x158aa00	0x565d054	-67969360	0x15c1f00	484	GainWeightControlResObject		gainWeightControlDatas;gainWeightControlDatas
322	0x158aa0c	0x565d058	-67969348	0x15c2148	484	HeroLvExpResObject		lvExpData;lvExpData
323	0x158aa18	0x565d05c	-67969336	0x15c2390	484	MonsterAttrLimitResObject		limitAttrs;limitAttrs
324	0x158aa24	0x565d060	-67969324	0x15c25d8	292	AttrLimitData	max;min	
325	0x158aa30	0x565d064	-67969312	0x15c2760	484	AttrLimitResObject		limitAttrs;limitAttrs
326	0x158aa3c	0x565d068	-67969300	0x15c29a8	796	StatusEffect	moveAble;rotateAble;skillAble;attackAble;cleanse;inputAble;dashAble;summoner;equipActive;castSkillAble;castAttackAble;teleport;spellChannelling;skillRotate;chargeAble;type	
327	0x158aa48	0x565d06c	-67969288	0x15c2d28	484	StatusEffectResObject		statusEffectList;statusEffectList
328	0x158aa54	0x565d070	-67969276	0x15c2f70	484	BuffRelationUnit		relations;relations
329	0x158aa60	0x565d074	-67969264	0x15c31b8	484	BuffRelationResObject		relations;relations
330	0x158aa6c	0x565d078	-67969252	0x15c3400	None	DataMgrProxy	isLoadConfigFailed;expMoneyRevise	buffRelation;buffRelation;statusEffect;statusEffect;attrLimit;attrLimit;monsterAttrLimit;monsterAttrLimit;heroLvExp;heroLvExp;gainWeightControlResObject;gainWeightControlResObject;heroSkillLvUpRule;heroSkillLvUpRule;monsterThemeSkin;monsterThemeSkin
331	0x158aa78	0x565d07c	-67969240	0x15cce8c	436	FrameDumperInterface	stopOnFrameCheckError;hasFrameCheckError;needDumpDataSyncPool;needSendFrameDump;onAIDumpReqFinish;dumpMemSaveFlag	
332	0x158aa84	0x565d080	-67969228	0x15cd0a4	484	NonRecoverConsistencyStaticVars		frameDumperInterface;frameDumperInterface
333	0x158aa90	0x565d084	-67969216	0x15cd2ec	484	CmdMgr		_battle;_battle
334	0x158aa9c	0x565d088	-67969204	0x15cd534	756	DataCmdRoot		cmdmgr;cmdmgr;frameDumper;frameDumper
335	0x158aaa8	0x565d08c	-67969192	0x15cd88c	484	PlayerManager		playerList;playerList
336	0x158aab4	0x565d090	-67969180	0x15cdad4	484	Battlefield		battle;battle
337	0x158aac0	0x565d094	-67969168	0x15cdd1c	484	ProjectileManager		projectileList;projectileList
338	0x158aacc	0x565d098	-67969156	0x15cdf64	484	ActorManager		actorList;actorList
339	0x158aad8	0x565d09c	-67969144	0x15ce1ac	484	EventManagerAdapter		m_dicEventAdapters;m_dicEventAdapters
340	0x158aae4	0x565d0a0	-67969132	0x15ce3f4	None	GameAPI		lgcEventMgr;lgcEventMgr;actorEventMgr;actorEventMgr;actorMgr;actorMgr;projectileMgr;projectileMgr;battle;battle;playerMgr;playerMgr;flowMgr;flowMgr;collectMgr;collectMgr;configMgr
341	0x158aaf0	0x565d0a4	-67969120	0x15cefcc	364	BattleTaskResObject	battleTaskType;iParam1;iParam2;iParam3	
342	0x158aafc	0x565d0a8	-67969108	0x15cf19c	536	BattleTaskBase	battleType	battleTasks;battleTasks
343	0x158ab08	0x565d0ac	-67969096	0x15cf418	None	BattleTaskMgr		taskDic;taskDic;taskHurtDistance;taskHurtDistance;taskHurtWithBuffOnMyself;taskHurtWithBuffOnMyself;taskHurtWithinSpecifiedTime;taskHurtWithinSpecifiedTime;taskKillBuffOnEnemy;taskKillBuffOnEnemy;taskKillContinuous;taskKillContinuous;taskKillWithSkillInSpecifiedTime;taskKillWithSkillInSpecifiedTime;taskHurtWithSkillInSpecifiedTime;taskHurtWithSkillInSpecifiedTime;taskKillDistance
344	0x158ab14	0x565d0b0	-67969084	0x15cfee0	484	DataCollectHook		dcSystem;dcSystem
345	0x158ab20	0x565d0b4	-67969072	0x15d0128	644	FEBattleDcPlayerSpecialActivity	redSpeedTask;redWinWithoutEquipTask;redEnterSprinTask;redStayInGrassTask;redPentakillTask;blueSpeedTask;blueWinWithoutEquipTask;blueEnterSprinTask;blueStayInGrassTask;bluePentakillTask;redEnterInGrassTimeList;blueEnterInGrassTimeList	
346	0x158ab2c	0x565d0b8	-67969060	0x15d0410	800	FEBattleDcPlayerSecurityData	playerSecurityDataDic;recordDataWhenDieDic;curIndex;totalRecordCount;lastRecordCount;blueResourcesInfoList;redResourcesInfoList;blueKillTowerList;redKillTowerList	playerBuffInfoDic;playerBuffInfoDic
347	0x158ab38	0x565d0bc	-67969048	0x15d0794	484	FEBattleDcGlobalInGroup		playersPos;playersPos
348	0x158ab44	0x565d0c0	-67969036	0x15d09dc	364	FEBattleDcHeeimerdingerTresureStrength	roleId;itemId;time;tresureObjId	
349	0x158ab50	0x565d0c4	-67969024	0x15d0bac	364	FEBattleDcHeeimerdingerTresureHit	roleId;itemId;time;tresureObjId	
350	0x158ab5c	0x565d0c8	-67969012	0x15d0d7c	364	FEBattleDcHeeimerdingerTresureUse	roleId;itemId;time;tresureObjId	
351	0x158ab68	0x565d0cc	-67969000	0x15d0f4c	436	FEBattleDcHeeimerdingerTresureOpen	camp;time;itemId;roleId;iLaneType;tresureObjId	
352	0x158ab74	0x565d0d0	-67968988	0x15d1164	472	FEBattleDcHeeimerdingerTresureRefresh	time;iLaneType;xPos;zPos;camp;resId;tresureObjId	
353	0x158ab80	0x565d0d4	-67968976	0x15d13a0	1572	FEBattleDcHeeimerdingerTresureStat		refreshList;refreshList;openList;openList;useList;useList;hitList;hitList;strengthList;strengthList
354	0x158ab8c	0x565d0d8	-67968964	0x15d1a28	384	FEBattleDcGamePlayData	gpExtraParamIntDic;gpExtraParamFix64Dic;eeExtraParamIntDic;eeExtraParamFix64Dic;gpEasterEggId	
355	0x158ab98	0x565d0dc	-67968952	0x15d1c0c	328	DcGlobalSPExtraItem	beginTime;endTime;totalMoney	
356	0x158aba4	0x565d0e0	-67968940	0x15d1db8	328	DcGlobalSPCampItem	teamMoney;towerCount;killDragonCount	
357	0x158abb0	0x565d0e4	-67968928	0x15d1f64	400	DcGlobalSPDataItem	gameTime;totalSPCount;winSPCount;winSPMoney;result	
358	0x158abbc	0x565d0e8	-67968916	0x15d2158	572	DcGlobalStrategicPointItem	camp;seq	extraSPData;extraSPData
359	0x158abc8	0x565d0ec	-67968904	0x15d23f8	1028	FEBattleDcGlobalBattleStrategicPoint		currentSampleSPData;currentSampleSPData;currentSPExtraItem;currentSPExtraItem;spList;spList
360	0x158abd4	0x565d0f0	-67968892	0x15d2860	256	DcHurtHeroIdDataItem	roleId	
361	0x158abe0	0x565d0f4	-67968880	0x15d29b8	508	DcHurtDataItem	roleId;skillId;skillGuid;hitTime;hurtValue;effectId;curHp;curHpPer	
362	0x158abec	0x565d0f8	-67968868	0x15d2c18	508	DcUseSkillDataItem	roleId;skillId;skillGuid;skillSlot;useTime;hitTime;hurtValue;isSummonerSkill	
363	0x158abf8	0x565d0fc	-67968856	0x15d2e78	1820	DcKillActorItem	isFirstBlood;isACE;isContinueDie;killerRoleId;deadRoleId;multiKillCount;killTime;killSeq;firstHurtTime;killDistance;killerPosX;killerPosZ;deadPosX;deadPosZ	deadDamageItem;deadDamageItem;combatStatusHurtItem;combatStatusHurtItem;summonerSkillItemDic;summonerSkillItemDic;combatHurtHeroIdDataItem;combatHurtHeroIdDataItem
